Film,Race,Gender,Words
The Fellowship Of The Ring,Elf,Female,1229
The Fellowship Of The Ring,Hobbit,Female,14
The Fellowship Of The Ring,Man,Female,0
The Return Of The King,Elf,Female,183
The Return Of The King,Hobbit,Female,2
The Return Of The King,Man,Female,268
The Return Of The King,Elf,Female,183
The Return Of The King,Hobbit,Female,2
The Return Of The King,Man,Female,268
The Fellowship Of The Ring,Elf,Male,971
The Fellowship Of The Ring,Hobbit,Male,3644
The Fellowship Of The Ring,Man,Male,1995
The Return Of The King,Elf,Male,510
The Return Of The King,Hobbit,Male,2673
The Return Of The King,Man,Male,2459
The Return Of The King,Elf,Male,510
The Return Of The King,Hobbit,Male,2673
The Return Of The King,Man,Male,2459
